time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-27 00:00:00+00:00,27,9,760,207
2023-12-28 00:00:00+00:00,450,12,828,228
2023-12-29 00:00:00+00:00,53,21,837,199
2023-12-30 00:00:00+00:00,22,12,454,128
2023-12-31 00:00:00+00:00,14,11,259,100
2024-01-01 00:00:00+00:00,27,14,429,119
2024-01-02 00:00:00+00:00,66,20,967,213
2024-01-03 00:00:00+00:00,38,14,957,221
2024-01-04 00:00:00+00:00,141,23,1049,257
2024-01-05 00:00:00+00:00,48,20,757,196
2024-01-06 00:00:00+00:00,13,12,236,121
2024-01-07 00:00:00+00:00,11,10,283,102
2024-01-08 00:00:00+00:00,23,11,495,191
2024-01-09 00:00:00+00:00,66,24,938,214
