time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-20 00:00:00+00:00,10,7,101,56
2024-01-21 00:00:00+00:00,14,10,359,64
2024-01-22 00:00:00+00:00,22,15,702,117
2024-01-23 00:00:00+00:00,32,15,867,128
2024-01-24 00:00:00+00:00,35,15,1067,124
2024-01-25 00:00:00+00:00,39,14,607,133
2024-01-26 00:00:00+00:00,54,22,459,131
2024-01-27 00:00:00+00:00,19,10,289,49
2024-01-28 00:00:00+00:00,8,7,156,56
2024-01-29 00:00:00+00:00,37,13,510,103
2024-01-30 00:00:00+00:00,59,18,1065,175
2024-01-31 00:00:00+00:00,74,16,1358,271
2024-02-01 00:00:00+00:00,61,19,1077,226
2024-02-02 00:00:00+00:00,68,22,927,198
