time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-19 00:00:00+00:00,21,11,1005,310
2023-12-20 00:00:00+00:00,29,17,2103,267
2023-12-21 00:00:00+00:00,46,17,1594,258
2023-12-22 00:00:00+00:00,40,20,784,209
2023-12-23 00:00:00+00:00,9,9,356,135
2023-12-24 00:00:00+00:00,7,7,673,218
2023-12-25 00:00:00+00:00,10,10,1256,345
2023-12-26 00:00:00+00:00,19,17,1057,356
2023-12-27 00:00:00+00:00,34,15,814,227
2023-12-28 00:00:00+00:00,450,12,828,228
2023-12-29 00:00:00+00:00,53,21,837,199
2023-12-30 00:00:00+00:00,22,12,454,128
2023-12-31 00:00:00+00:00,14,11,259,100
2024-01-01 00:00:00+00:00,27,14,429,119
2024-01-02 00:00:00+00:00,4,3,9,7
